Vial Site,Reagent1 (ul),Reagent2 (ul),Reagent3 (ul),Reagent4 (ul),Reagent5 (ul),Reagent6 (ul),Reagent7 (ul),Reagent8 (ul),Reagent9 (ul),Reagent10 (ul),Labware ID:,Reaction Parameters,Parameter Values,Reagents,Reagent Name,Reagent Identity,Reagent Concentration (uM),Liquid Class
A1,422,28,0,0,0,0,0,0,0,50,Symyx_96_well_0003,Temperature (C):,25.0,Reagent1,m-Xylene,,,mk_HighVolume_EtOH_DispenseJet_Empty
C1,445,5,0,0,0,0,0,0,0,50,Symyx_96_well_0003,Stir Rate (rpm):,750.0,Reagent2,Trioctylamine,15.0,100.0,mk_Tip_50ul_EtOH_DispenseJet_Empty
E1,410,40,0,0,0,0,0,0,0,50,Symyx_96_well_0003,Mixing time1 (s):,600.0,Reagent3,Trioctylamine,15.0,1000.0,mk_Tip_50ul_EtOH_DispenseJet_Empty
G1,433,17,0,0,0,0,0,0,0,50,Symyx_96_well_0003,Mixing time2 (s):,600.0,Reagent4,ditertbutyl dipyridyl,22.0,100.0,mk_Tip_50ul_EtOH_DispenseJet_Empty
B1,312,0,0,0,0,138,0,0,0,50,Symyx_96_well_0003,Reaction time (s):,60.0,Reagent5,ditertbutyl dipyridyl,22.0,1000.0,mk_Tip_50ul_EtOH_DispenseJet_Empty
D1,288,0,0,0,0,162,0,0,0,50,Symyx_96_well_0003,,,Reagent6,Trioctylamine,15.0,100.0,mk_StandardVolume_EtOH_DispenseJet_Empty
F1,380,0,0,0,0,70,0,0,0,50,Symyx_96_well_0003,,,Reagent7,Trioctylamine,15.0,1000.0,mk_StandardVolume_EtOH_DispenseJet_Empty
H1,300,0,0,0,0,150,0,0,0,50,Symyx_96_well_0003,,,Reagent8,ditertbutyl dipyridyl,22.0,100.0,mk_StandardVolume_EtOH_DispenseJet_Empty
A2,324,0,0,0,0,126,0,0,0,50,Symyx_96_well_0003,,,Reagent9,ditertbutyl dipyridyl,22.0,1000.0,mk_StandardVolume_EtOH_DispenseJet_Empty
C2,264,0,0,0,0,186,0,0,0,50,Symyx_96_well_0003,,,Reagent10,CPB20220421001,,,mk_Tip_50ul_EtOH_DispenseJet_Empty
E2,331,0,0,0,0,119,0,0,0,50,Symyx_96_well_0003,,,,,,,
G2,337,0,0,0,0,113,0,0,0,50,Symyx_96_well_0003,,,,,,,
B2,355,0,0,0,0,95,0,0,0,50,Symyx_96_well_0003,,,,,,,
D2,386,0,0,0,0,64,0,0,0,50,Symyx_96_well_0003,,,,,,,
F2,397,0,0,0,0,53,0,0,0,50,Symyx_96_well_0003,,,,,,,
H2,348,0,0,0,0,102,0,0,0,50,Symyx_96_well_0003,,,,,,,
A3,361,0,0,0,0,89,0,0,0,50,Symyx_96_well_0003,,,,,,,
C3,373,0,0,0,0,77,0,0,0,50,Symyx_96_well_0003,,,,,,,
E3,251,0,0,0,0,199,0,0,0,50,Symyx_96_well_0003,,,,,,,
G3,275,0,0,0,0,175,0,0,0,50,Symyx_96_well_0003,,,,,,,
B3,424,0,26,0,0,0,0,0,0,50,Symyx_96_well_0003,,,,,,,
D3,430,0,20,0,0,0,0,0,0,50,Symyx_96_well_0003,,,,,,,
F3,412,0,38,0,0,0,0,0,0,50,Symyx_96_well_0003,,,,,,,
H3,407,0,43,0,0,0,0,0,0,50,Symyx_96_well_0003,,,,,,,
A4,420,0,30,0,0,0,0,0,0,50,Symyx_96_well_0003,,,,,,,
C4,401,0,49,0,0,0,0,0,0,50,Symyx_96_well_0003,,,,,,,
E4,427,0,23,0,0,0,0,0,0,50,Symyx_96_well_0003,,,,,,,
G4,416,0,34,0,0,0,0,0,0,50,Symyx_96_well_0003,,,,,,,
B4,394,0,0,0,0,0,56,0,0,50,Symyx_96_well_0003,,,,,,,
D4,387,0,0,0,0,0,63,0,0,50,Symyx_96_well_0003,,,,,,,
F4,346,0,0,0,0,0,104,0,0,50,Symyx_96_well_0003,,,,,,,
H4,298,0,0,0,0,0,152,0,0,50,Symyx_96_well_0003,,,,,,,
A5,378,0,0,0,0,0,72,0,0,50,Symyx_96_well_0003,,,,,,,
C5,229,0,0,0,0,0,221,0,0,50,Symyx_96_well_0003,,,,,,,
E5,369,0,0,0,0,0,81,0,0,50,Symyx_96_well_0003,,,,,,,
G5,278,0,0,0,0,0,172,0,0,50,Symyx_96_well_0003,,,,,,,
B5,255,0,0,0,0,0,195,0,0,50,Symyx_96_well_0003,,,,,,,
D5,332,0,0,0,0,0,118,0,0,50,Symyx_96_well_0003,,,,,,,
F5,358,0,0,0,0,0,92,0,0,50,Symyx_96_well_0003,,,,,,,
H5,316,0,0,0,0,0,134,0,0,50,Symyx_96_well_0003,,,,,,,
A6,450,0,0,0,0,0,0,0,0,50,Symyx_96_well_0003,,,,,,,
C6,450,0,0,0,0,0,0,0,0,50,Symyx_96_well_0003,,,,,,,
E6,450,0,0,0,0,0,0,0,0,50,Symyx_96_well_0003,,,,,,,
G6,450,0,0,0,0,0,0,0,0,50,Symyx_96_well_0003,,,,,,,
B6,500,0,0,0,0,0,0,0,0,0,Symyx_96_well_0003,,,,,,,
D6,500,0,0,0,0,0,0,0,0,0,Symyx_96_well_0003,,,,,,,
F6,500,0,0,0,0,0,0,0,0,0,Symyx_96_well_0003,,,,,,,
H6,500,0,0,0,0,0,0,0,0,0,Symyx_96_well_0003,,,,,,,
A7,422,0,0,28,0,0,0,0,0,50,Symyx_96_well_0003,,,,,,,
C7,433,0,0,17,0,0,0,0,0,50,Symyx_96_well_0003,,,,,,,
E7,445,0,0,5,0,0,0,0,0,50,Symyx_96_well_0003,,,,,,,
G7,410,0,0,40,0,0,0,0,0,50,Symyx_96_well_0003,,,,,,,
B7,288,0,0,0,0,0,0,162,0,50,Symyx_96_well_0003,,,,,,,
D7,312,0,0,0,0,0,0,138,0,50,Symyx_96_well_0003,,,,,,,
F7,300,0,0,0,0,0,0,150,0,50,Symyx_96_well_0003,,,,,,,
H7,361,0,0,0,0,0,0,89,0,50,Symyx_96_well_0003,,,,,,,
A8,264,0,0,0,0,0,0,186,0,50,Symyx_96_well_0003,,,,,,,
C8,324,0,0,0,0,0,0,126,0,50,Symyx_96_well_0003,,,,,,,
E8,348,0,0,0,0,0,0,102,0,50,Symyx_96_well_0003,,,,,,,
G8,386,0,0,0,0,0,0,64,0,50,Symyx_96_well_0003,,,,,,,
B8,355,0,0,0,0,0,0,95,0,50,Symyx_96_well_0003,,,,,,,
D8,275,0,0,0,0,0,0,175,0,50,Symyx_96_well_0003,,,,,,,
F8,397,0,0,0,0,0,0,53,0,50,Symyx_96_well_0003,,,,,,,
H8,337,0,0,0,0,0,0,113,0,50,Symyx_96_well_0003,,,,,,,
A9,373,0,0,0,0,0,0,77,0,50,Symyx_96_well_0003,,,,,,,
C9,251,0,0,0,0,0,0,199,0,50,Symyx_96_well_0003,,,,,,,
E9,331,0,0,0,0,0,0,119,0,50,Symyx_96_well_0003,,,,,,,
G9,380,0,0,0,0,0,0,70,0,50,Symyx_96_well_0003,,,,,,,
B9,407,0,0,0,43,0,0,0,0,50,Symyx_96_well_0003,,,,,,,
D9,430,0,0,0,20,0,0,0,0,50,Symyx_96_well_0003,,,,,,,
F9,420,0,0,0,30,0,0,0,0,50,Symyx_96_well_0003,,,,,,,
H9,427,0,0,0,23,0,0,0,0,50,Symyx_96_well_0003,,,,,,,
A10,412,0,0,0,38,0,0,0,0,50,Symyx_96_well_0003,,,,,,,
C10,401,0,0,0,49,0,0,0,0,50,Symyx_96_well_0003,,,,,,,
E10,424,0,0,0,26,0,0,0,0,50,Symyx_96_well_0003,,,,,,,
G10,416,0,0,0,34,0,0,0,0,50,Symyx_96_well_0003,,,,,,,
B10,358,0,0,0,0,0,0,0,92,50,Symyx_96_well_0003,,,,,,,
D10,394,0,0,0,0,0,0,0,56,50,Symyx_96_well_0003,,,,,,,
F10,332,0,0,0,0,0,0,0,118,50,Symyx_96_well_0003,,,,,,,
H10,378,0,0,0,0,0,0,0,72,50,Symyx_96_well_0003,,,,,,,
A11,316,0,0,0,0,0,0,0,134,50,Symyx_96_well_0003,,,,,,,
C11,298,0,0,0,0,0,0,0,152,50,Symyx_96_well_0003,,,,,,,
E11,229,0,0,0,0,0,0,0,221,50,Symyx_96_well_0003,,,,,,,
G11,255,0,0,0,0,0,0,0,195,50,Symyx_96_well_0003,,,,,,,
B11,387,0,0,0,0,0,0,0,63,50,Symyx_96_well_0003,,,,,,,
D11,346,0,0,0,0,0,0,0,104,50,Symyx_96_well_0003,,,,,,,
F11,278,0,0,0,0,0,0,0,172,50,Symyx_96_well_0003,,,,,,,
H11,369,0,0,0,0,0,0,0,81,50,Symyx_96_well_0003,,,,,,,
A12,450,0,0,0,0,0,0,0,0,50,Symyx_96_well_0003,,,,,,,
C12,450,0,0,0,0,0,0,0,0,50,Symyx_96_well_0003,,,,,,,
E12,450,0,0,0,0,0,0,0,0,50,Symyx_96_well_0003,,,,,,,
G12,450,0,0,0,0,0,0,0,0,50,Symyx_96_well_0003,,,,,,,
B12,500,0,0,0,0,0,0,0,0,0,Symyx_96_well_0003,,,,,,,
D12,500,0,0,0,0,0,0,0,0,0,Symyx_96_well_0003,,,,,,,
F12,500,0,0,0,0,0,0,0,0,0,Symyx_96_well_0003,,,,,,,
H12,500,0,0,0,0,0,0,0,0,0,Symyx_96_well_0003,,,,,,,
